seed,parameter,trainable,numel
3407,frozen_c17.base_model.image_encoder.backbone.1.bias,False,32
3407,frozen_c17.base_model.image_encoder.backbone.4.weight,False,18432
3407,frozen_c17.base_model.image_encoder.backbone.4.bias,False,64
3407,frozen_c17.base_model.image_encoder.backbone.5.weight,False,64
3407,frozen_c17.base_model.image_encoder.backbone.5.bias,False,64
3407,frozen_c17.base_model.image_encoder.proj.2.weight,False,16384
3407,frozen_c17.base_model.image_encoder.proj.2.bias,False,256
3407,frozen_c17.base_model.image_encoder.proj.3.weight,False,256
3407,frozen_c17.base_model.image_encoder.proj.3.bias,False,256
3407,frozen_c17.base_model.text_encoder.embedding.weight,False,12800000
3407,frozen_c17.base_model.text_encoder.proj.1.weight,False,65536
3407,frozen_c17.base_model.text_encoder.proj.1.bias,False,256
3407,frozen_c17.base_model.text_encoder.proj.3.weight,False,256
3407,frozen_c17.base_model.text_encoder.proj.3.bias,False,256
3407,frozen_c17.base_model.bio_encoder.medical.0.weight,False,3584
3407,frozen_c17.base_model.bio_encoder.medical.0.bias,False,256
3407,frozen_c17.base_model.bio_encoder.medical.3.weight,False,256
3407,frozen_c17.base_model.bio_encoder.medical.3.bias,False,256
3407,frozen_c17.base_model.bio_encoder.observation.0.weight,False,1792
3407,frozen_c17.base_model.bio_encoder.observation.0.bias,False,256
3407,frozen_c17.base_model.bio_encoder.observation.3.weight,False,256
3407,frozen_c17.base_model.bio_encoder.observation.3.bias,False,256
3407,frozen_c17.base_model.bio_encoder.token_proj.weight,False,256
3407,frozen_c17.base_model.bio_encoder.token_proj.bias,False,256
3407,frozen_c17.base_model.evidence.role_queries,False,1536
3407,frozen_c17.base_model.evidence.attn.in_proj_weight,False,196608
3407,frozen_c17.base_model.evidence.attn.in_proj_bias,False,768
3407,frozen_c17.base_model.evidence.attn.out_proj.weight,False,65536
3407,frozen_c17.base_model.evidence.attn.out_proj.bias,False,256
3407,frozen_c17.base_model.evidence.score.weight,False,256
3407,frozen_c17.base_model.evidence.score.bias,False,1
3407,frozen_c17.base_model.anchor.anchor,False,256
3407,frozen_c17.base_model.anchor.attn.in_proj_weight,False,196608
3407,frozen_c17.base_model.anchor.attn.in_proj_bias,False,768
3407,frozen_c17.base_model.anchor.attn.out_proj.weight,False,65536
3407,frozen_c17.base_model.anchor.attn.out_proj.bias,False,256
3407,frozen_c17.base_model.anchor.norm.weight,False,256
3407,frozen_c17.base_model.anchor.norm.bias,False,256
3407,frozen_c17.base_model.discordance.mlp.0.weight,False,262144
3407,frozen_c17.base_model.discordance.mlp.0.bias,False,256
3407,frozen_c17.base_model.discordance.mlp.3.weight,False,256
3407,frozen_c17.base_model.discordance.mlp.3.bias,False,256
3407,frozen_c17.base_model.classifier.e_img.weight,False,256
3407,frozen_c17.base_model.classifier.e_img.bias,False,1
3407,frozen_c17.base_model.classifier.e_text.weight,False,256
3407,frozen_c17.base_model.classifier.e_text.bias,False,1
3407,frozen_c17.base_model.classifier.e_bio.weight,False,256
3407,frozen_c17.base_model.classifier.e_bio.bias,False,1
